Account,Account Short Description,Account Type,GL Account Code,Trans Type,Is Active,Account Active or Inactive
10000.9,Cash - GBP,Assets,10000.9,Cash - Received - GBP,Yes,Active
10000.996,Bank Deposits,Assets,10000.996,Bank Deposits,Yes,Active
10000.997,Deposits,Assets,10000.997,Cash - Deposits,Yes,Active
10000.997,Deposits,Assets,10000.997,Cash - FX Gain/Loss - Deposits,Yes,Active
10000.997,Deposits,Assets,10000.997,Fixed Deposits,Yes,Active
10000.998,Cash - SPV,Assets,10000.998,Cash - Disbursed - SPV,Yes,Active
10000.998,Cash - SPV,Assets,10000.998,Cash - FX Gain/Loss - SPV,Yes,Active
10000.998,Cash - SPV,Assets,10000.998,Cash - Received - SPV,Yes,Active
10000.999,Cash - Spot Clearing,Assets,10000.999,Cash - Spot Clearing Credits,Yes,Active
10000.999,Cash - Spot Clearing,Assets,10000.999,Cash - Spot Clearing Debits,Yes,Active
10000.999,Cash - Spot Clearing,Assets,10000.999,Cross Account - Credit,Yes,Active
10000.999,Cash - Spot Clearing,Assets,10000.999,Cross Account - Debit,Yes,Active
11000,L - Investments,Assets,11000,Conversion Out,Yes,Active
11000,L - Investments,Assets,11000,Investments - Loan - Broken deals,Yes,Active
11000,L - Investments,Assets,11000,Investments - Loan - Capitalized Management expense,Yes,Active
11000,L - Investments,Assets,11000,Investments - Loan - Conversion - Purchase - Capitalized Income,Yes,Active
11000,L - Investments,Assets,11000,Investments - Loan - Conversion - Purchase - Cost,Yes,Active
11000,L - Investments,Assets,11000,Investments - Loan - Conversion - Sale - Capitalized Income,Yes,Active
11000,L - Investments,Assets,11000,Investments - Loan - Conversion - Sale - Cost,Yes,Active
11000,L - Investments,Assets,11000,Investments - Loan - PIK Interest  Repayment,Yes,Active
11000,L - Investments,Assets,11000,Investments - Loan - PIK Interest Capitalization,Yes,Active
11000,L - Investments,Assets,11000,Investments - Loan - Purchase,Yes,Active
11000,L - Investments,Assets,11000,Investments - Loan - Redemption,Yes,Active
11000,L - Investments,Assets,11000,Investments - Loan - Syndication,Yes,Active
11000,L - Investments,Assets,11000,Investments - Return of Capital (Recallable),Yes,Active
11000.01,Investments - Options,Assets,11000.01,Investments - Options,Yes,Active
11000.02,Investments,Assets,11000.02,Investments,Yes,Active
11200,L - Investments - Discounts & Premiums,Assets,11200,Investments - Loan - Discount Received,Yes,Active
11200,L - Investments - Discounts & Premiums,Assets,11200,Investments - Loan - Premium Paid,Yes,Active
11500,L - Investments - Market Adjustments,Assets,11500,Investments - Loan - Capitalized Expense (B/S),Yes,Active
11500,L - Investments - Market Adjustments,Assets,11500,Investments - Loan - Realized Gain/Loss (B/S),Yes,Active
11500,L - Investments - Market Adjustments,Assets,11500,Investments - Loan - Unrealized Gain/Loss (B/S),Yes,Active
11500.1,Investment - FMV Adjustment,Assets,11500.1,Investments - FMV Adjustment,Yes,Active
11600,L - Investments - FX Adjustment,Assets,11600,Investments - Loan - Realized FX Gain/Loss (B/S),Yes,Active
11600,L - Investments - FX Adjustment,Assets,11600,Investments - Loan - Unrealized FX Gain/Loss (B/S),Yes,Active
11700,L - Investments - Long term accrued Interest,Assets,11700,Accrued Income - Investment Interest - Cash - Long Term,Yes,Active
11700,L - Investments - Long term accrued Interest,Assets,11700,Accrued Income - Investment Interest - Cash - Long Term - Reversal,Yes,Active
11700.1,L - Investments - Capitalized Interest,Assets,11700.1,Investments - Capitalized Interest,Yes,Active
11700.1,L - Investments - Capitalized Interest,Assets,11700.1,Investments - Capitalized Interest Repayment,Yes,Active
12000,E - Investments,Assets,12000,Investments - Equity - Broken Deals,Yes,Active
12000,E - Investments,Assets,12000,Investments - Equity - Capitalized expense,Yes,Active
12000,E - Investments,Assets,12000,Investments - Equity - Conversion - Purchase - Capitalized Income,Yes,Active
12000,E - Investments,Assets,12000,Investments - Equity - Conversion - Purchase - Cost,Yes,Active
12000,E - Investments,Assets,12000,Investments - Equity - Conversion - Sale - Capitalized Income,Yes,Active
12000,E - Investments,Assets,12000,Investments - Equity - Conversion - Sale - Cost,Yes,Active
12000,E - Investments,Assets,12000,Investments - Equity - Purchase,Yes,Active
12000,E - Investments,Assets,12000,Investments - Equity - Return of Capital,Yes,Active
12000,E - Investments,Assets,12000,Investments - Equity - Return of Capital (Recallable),Yes,Active
12000,E - Investments,Assets,12000,Investments - Equity - Syndication,Yes,Active
12000,E - Investments,Assets,12000,Investments - FoF - Investments,Yes,Active
12000,E - Investments,Assets,12000,Investments - FoF - Return of Capital (Non recallable),Yes,Active
12000,E - Investments,Assets,12000,Investments - FoF - Return of Capital (Recallable),Yes,Active
12500,E - Investments - Market Adjustments,Assets,12500,Investments - Equity - Dividends (B/S),Yes,Active
12500,E - Investments - Market Adjustments,Assets,12500,Investments - Equity - Realized Gain/Loss (B/S),Yes,Active
12500,E - Investments - Market Adjustments,Assets,12500,Investments - Equity - Unrealized Gain/Loss (B/S),Yes,Active
12500,E - Investments - Market Adjustments,Assets,12500,Investments - FoF - Unrealized Gain/Loss (B/S),Yes,Active
12600,E - Investments - FX Adjustment,Assets,12600,Investments - Equity - Realized FX Gain/Loss (B/S),Yes,Active
12600,E - Investments - FX Adjustment,Assets,12600,Investments - Equity - Unrealized FX Gain/Loss (B/S),Yes,Active
12600,E - Investments - FX Adjustment,Assets,12600,Investments - FoF - Unrealized FX Gain/Loss (B/S),Yes,Active
13000,P - Investments,Assets,13000,Investments - Property - Capitalized Expense,Yes,Active
13000,P - Investments,Assets,13000,Investments - Property - Purchase,Yes,Active
13000,P - Investments,Assets,13000,Investments - Property - Return of Capital,Yes,Active
13000,P - Investments,Assets,13000,Investments - Property - Return of Capital (Recallable),Yes,Active
13500,P - Investments - Market Adjustments,Assets,13500,Investments - Property - Unrealized Gain/Loss (B/S),Yes,Active
13600,P - Investments - FX Adjustments,Assets,13600,Investments - Property - Unrealized FX Gain/Loss (B/S),Yes,Active
14000,S - Investments,Assets,14000,Investments - Share Capital - Increase,Yes,Active
14000,S - Investments,Assets,14000,Investments - Share Premium - Increase,Yes,Active
14000,S - Investments,Assets,14000,Investments - Subsidary - Increase,Yes,Active
15000,O - Investments,Assets,15000,Investments - Other - Return of Capital (B/S),Yes,Active
15000,O - Investments,Assets,15000,Investments - Other - Return of Capital (Recallable),Yes,Active
15000,O - Investments,Assets,15000,Investments - Other - Share Conversion (B/S),Yes,Active
15000,O - Investments,Assets,15000,Investments - Other - Shareholder Debt (B/S),Yes,Active
15000,O - Investments,Assets,15000,Investments - Other- Interest (B/S),Yes,Active
15000,O - Investments,Assets,15000,Investments - Other- Purchase (B/S),Yes,Active
15500,O - Investments - Market Adjustments,Assets,15500,Investments - Equity Pick Up,Yes,Active
15500,O - Investments - Market Adjustments,Assets,15500,Investments - Other - Unrealized Gain/Loss (B/S),Yes,Active
15600,O - Investments - FX Adjustments,Assets,15600,Investments - Other - Unrealized FX Gain/Loss (B/S),Yes,Active
16000,L - Interest Accrued,Assets,16000,Accrued Income - Investment Interest - Cash,Yes,Active
16000,L - Interest Accrued,Assets,16000,Accrued Income - Investment Interest - Cash - Reversal,Yes,Active
16000,L - Interest Accrued,Assets,16000,Accrued Income - Investment Interest - PIK,Yes,Active
16000,L - Interest Accrued,Assets,16000,Accrued Income - Investment Interest - PIK - Reversal,Yes,Active
16000,L - Interest Accrued,Assets,16000,Receivable - Investment Interest - Cash - Invoiced,Yes,Active
16000,L - Interest Accrued,Assets,16000,Receivable - Investment Interest - FX Gain/Loss,Yes,Active
16000.1,Interest Receivable,Assets,16000.1,Interest Receivable,Yes,Active
16000.2,Interest Receivable - Senior loan,Assets,16000.2,Interest Receivable - Senior loan,Yes,Active
16000.3,Interest Receivable - Junior loan,Assets,16000.3,Interest Receivable - Junior loan,Yes,Active
16100,Accounts Receivable (Inv Rel),Assets,16100,Receivable - Accounts Receivable - Provision (Inv Rel) - Reversal,Yes,Active
16100,Accounts Receivable (Inv Rel),Assets,16100,Receivable - Accounts Receivable (Inv Rel),Yes,Active
16100,Accounts Receivable (Inv Rel),Assets,16100,Receivable - Directors Fees (Inv Rel)(B/S),Yes,Active
16100,Accounts Receivable (Inv Rel),Assets,16100,Receivable - Investments,Yes,Active
16100,Accounts Receivable (Inv Rel),Assets,16100,Receivable - Project Costs (Inv Rel),Yes,Active
16100.1,Receivables,Assets,16100.1,Receivable,Yes,Active
16100.2,Receivable - Related Party,Assets,16100.2,Receivable - Related Party,Yes,Active
16100.3,Receivables - Third Party,Assets,16100.3,Receivable - Third Party,Yes,Active
16100.4,Receivable - Deferred Income,Assets,16100.4,Receivable - Deferred Income,Yes,Active
16100.5,Receivable - Subsequent Close Interest,Assets,16100.5,Receivable - Subsequent Close Interest,Yes,Active
16100.6,FX Forward Contract Receivable,Assets,16100.6,FX Forward Contract Receivable,Yes,Active
16200,E - Dividend Receivable,Assets,16200,Receivable - Dividend (Inv Rel),Yes,Active
16300,Escrow,Assets,16300,Escrow,Yes,Active
16400.1,Deferred Upfront Fees,Assets,16400.1,Deferred Upfront Fees,Yes,Active
16500,Tax - Receivable (Inv Rel),Assets,16500,Tax - Receivable - Receivable (Inv Rel),Yes,Active
16600,Loans Receivable,Assets,16600,Loans Receivable,Yes,Active
17000,Accounts Receivable (Non Inv Rel),Assets,17000,Receivable - Due From Related Parties - Release (Non Inv Rel),Yes,Active
17000,Accounts Receivable (Non Inv Rel),Assets,17000,Receivable - Due From Related Parties (Non Inv Rel),Yes,Active
17000,Accounts Receivable (Non Inv Rel),Assets,17000,Receivable - Other - Provision (Non Inv Rel),Yes,Active
17000,Accounts Receivable (Non Inv Rel),Assets,17000,Receivable - Other (Non Inv Rel),Yes,Active
17000.1,Rental Income Receivable,Assets,17000.1,Rent - Receivable,Yes,Active
17000.3,Lease Income Receivable,Assets,17000.3,Lease Income - Receivable,Yes,Active
17100,Prepaid Expenses - Non Inv Rel,Assets,17100,Prepaid Expenses - Management Fees (Non Inv Rel),Yes,Active
17100.1,Prepayments,Assets,17100.1,Prepayments,Yes,Active
17100.2,Prepaid Management Fees,Assets,17100.2,Prepaid Management Fees,Yes,Active
17100.3,Deferred Expense,Assets,17100.3,Deferred Expense,Yes,Active
17100.4,Management Fees Receivable,Assets,17100.4,Receivable - Management Fees,Yes,Active
17500,Tax - Receivable (Non Inv Rel),Assets,17500,Tax - Receivable (Non Inv Rel),Yes,Active
17550.1,Deferred Tax Asset,Assets,17550.1,Deferred Tax Asset,Yes,Active
17550.1,Deferred Tax Asset,Assets,17550.1,Non-Current Deferred Tax Asset,Yes,Active
18000,LP Contributions - Calls Receivable,Assets,18000,Receivable - Capital Call Receivable,Yes,Active
18000,LP Contributions - Calls Receivable,Assets,18000,Receivable - Capital Call Receivable - Received,Yes,Active
18000.1,Due From Investors,Assets,18000.1,Due From Investors,Yes,Active
19000,Fixed Asset,Assets,19000,Fixed Asset,Yes,Active
19100,Accumulated Depreciation,Assets,19100,Accumulated Depreciation,Yes,Active
20000,Accounts Payable (Inv Rel),Liabilities,20000,Payable - Other (Inv Rel),Yes,Active
20000,Accounts Payable (Inv Rel),Liabilities,20000,Payable - Project Cost (Loan Rel),Yes,Active
20500,Accounts Payable (Non Inv Rel),Liabilities,20500,Payable - Due to Related Parties - Release  (Non Inv Rel),Yes,Active
20500,Accounts Payable (Non Inv Rel),Liabilities,20500,Payable - Due to Related Parties (Non Inv Rel),Yes,Active
20500,Accounts Payable (Non Inv Rel),Liabilities,20500,Payable - Other (Non Inv Rel),Yes,Active
20500,Accounts Payable (Non Inv Rel),Liabilities,20500,Payable - Other Current (Non Inv Rel),Yes,Active
20500,Accounts Payable (Non Inv Rel),Liabilities,20500,Payable - Other Non Current (Non Inv Rel),Yes,Active
20500.1,Payable - Related Party,Liabilities,20500.1,Payable - Related Party,Yes,Active
20500.2,FX Options Payable,Liabilities,20500.2,FX Options Payable,Yes,Active
20500.3,Due to Investors,Liabilities,20500.3,Due to Investors,Yes,Active
20500.4,Accounts Payable,Liabilities,20500.4,Accounts Payable,Yes,Active
20500.5,Payable - Third Party,Liabilities,20500.5,Payable - Third Party,Yes,Active
20500.6,FX Forward Contract Payable,Liabilities,20500.6,FX Forward Contract Payable,Yes,Active
20500.7,Payable – Advisory fees,Liabilities,20500.7,Payable – Advisory fees,Yes,Active
20500.8,Payable - FX Swap,Liabilities,20500.8,Payable - FX Swap,Yes,Active
21000,Funding Loans - Short Term (Non Inv Rel),Liabilities,21000,Funding Loan - Short Term - Issued (Non Inv Rel),Yes,Active
21050,Funding Loans - Long Term (Non Inv Rel),Liabilities,21050,Funding Loan - Long Term - Issued (Non Inv Rel),Yes,Active
21050.1,Loans Payable,Liabilities,21050.1,Loan - Capitalized Expenses (B/S),Yes,Active
21050.1,Loans Payable,Liabilities,21050.1,Loan - Discount Received,Yes,Active
21050.1,Loans Payable,Liabilities,21050.1,Loan - PIK Interest Capitalization,Yes,Active
21050.1,Loans Payable,Liabilities,21050.1,Loan - Unrealized Gain/Loss (B/S),Yes,Active
21050.1,Loans Payable,Liabilities,21050.1,Loans Payable,Yes,Active
21075,Bank Loans,Liabilities,21075,Bank Loans,Yes,Active
21100,Payable - Interest (Non Inv Rel),Liabilities,21100,Accrued Expense - Funding Interest - Accrued (Non Inv Rel),Yes,Active
21100.1,Payable - Interest,Liabilities,21100.1,Payable - Interest,Yes,Active
21100.2,Interest Rate Swap Payable,Liabilities,21100.2,Interest Rate Swap Payable,Yes,Active
21100.3,Carried Interest Payable,Liabilities,21100.3,Carried Interest Payable,Yes,Active
21100.4,Payable - Interest - Related Party,Liabilities,21100.4,Payable - Interest - Related Party,Yes,Active
21200,Dividends Payable,Liabilities,21200,Payable - Dividend,Yes,Active
21300,Capital Call - Paid in Advance,Liabilities,21300,Capital Call - Paid in Advance,Yes,Active
22000,Payable - Management Fees (Non Inv Rel),Liabilities,22000,Accrued Expense - Management Fee - Accrued (Non Inv Rel),Yes,Active
23000,Accrued Expense (Non Inv Rel),Liabilities,23000,Accrued Expense - General - Accrued (Non Inv Rel),Yes,Active
23000,Accrued Expense (Non Inv Rel),Liabilities,23000,Accrued Expense - General - Paid (Non Inv Rel),Yes,Active
23000,Accrued Expense (Non Inv Rel),Liabilities,23000,Accrued Expense - Organisational - Accrued (Non inv Rel),Yes,Active
23000.1,Accrued Expense,Liabilities,23000.1,Accrued Expense,Yes,Active
23000.1,Withholding Taxes accruals,Liabilities,23000.1,Accrued Expense - Withholding,Yes,Active
23000.11,Withholding Taxes reversal,Liabilities,23000.11,Accrued Expense - Withholding - Reversal,Yes,Active
23000.2,Accrued Expense - Audit,Liabilities,23000.2,Accrued Expense - Audit - Payable,Yes,Active
23000.5,Accrued Expense – Administration Fees,Liabilities,23000.5,Accrued Expense – Administration Fees - Payable,Yes,Active
23000.6,Premium expenses accrued,Liabilities,23000.6,Accrued Expense - Premium,Yes,Active
23000.7,Premium expenses reversal,Liabilities,23000.7,Accrued Expense - Premium - Reversal,Yes,Active
23000.8,Transaction costs accrued,Liabilities,23000.8,Accrued Expense - Transaction Cost,Yes,Active
23000.9,Transaction costs reversal,Liabilities,23000.9,Accrued Expense - Transaction Cost - Reversal,Yes,Active
24000,Rent Expense Payable,Liabilities,24000,Rent - Payable,Yes,Active
24000.1,Rent In Advance,Liabilities,24000.1,Rent In Advance,Yes,Active
25000,Lease Expense Payable,Liabilities,25000,Lease Expense - Payable,Yes,Active
25100,Lease Liability,Liabilities,25100,Lease Liability - Current,Yes,Active
25100,Lease Liability,Liabilities,25100,Lease Liability - Non Current,Yes,Active
26500,Tax - Payable (Inv Rel),Liabilities,26500,Tax - Payable - Payable (Inv Rel),Yes,Active
27500,Tax - Payable (Non Inv Rel),Liabilities,27500,Tax - Payable - Payable (Non Inv Rel),Yes,Active
27550,Tax - Deferred Tax Expense,Liabilities,27550,Tax - Defered Tax Expense (B/S),Yes,Active
27560,Payable - GAAP adjustmen,Liabilities,27560,Payable - GAAP adjustment,Yes,Active
27600,VAT Control Account,Liabilities,27600,VAT - Paid On Invoice,Yes,Active
27600,VAT Control Account,Liabilities,27600,VAT - Received On Invoice,Yes,Active
27600,VAT Control Account,Liabilities,27600,VAT - Reverse Charge,Yes,Active
28000,Deferred Income,Liabilities,28000,Deferred Income,Yes,Active
29000,Payable - Syndication Costs,Liabilities,29000,Payable - Syndication Costs,Yes,Active
29100,Payable - Subsequent Close Interest,Liabilities,29100,Payable - Subsequent Close Interest,Yes,Active
30000,Partners Capital,Capital,30000,Capital - Partners Capital - Decrease,Yes,Active
30000,Partners Capital,Capital,30000,Capital - Partners Capital - Increase,Yes,Active
30010,Partners Capital - Loan,Capital,30010,Capital Call - Loan,Yes,Active
30020,Contributions - Deemed GP Contribution,Capital,30020,Capital Call - Deemed GP Contribution,Yes,Active
30050,Share Capital,Capital,30050,Capital - Decrease of Share capital,Yes,Active
30050,Share Capital,Capital,30050,Capital - Increase of Share Capital,Yes,Active
30050,Share Capital,Capital,30050,Share Capital - Decrease,Yes,Active
30050,Share Capital,Capital,30050,Share Capital - Increase,Yes,Active
30060,Capital Reserve,Capital,30060,Capital Reserve - Decrease,Yes,Active
30060,Capital Reserve,Capital,30060,Capital Reserve - Increase,Yes,Active
30070,Share Premium Reserve,Capital,30070,Capital - Decrease of Share Premium Reserve,Yes,Active
30070,Share Premium Reserve,Capital,30070,Capital - Increase of Share Premium Reserve,Yes,Active
30070,Share Premium Reserve,Capital,30070,Share Premium - Decrease,Yes,Active
30070,Share Premium Reserve,Capital,30070,Share Premium - Increase,Yes,Active
30100,LP Contributions - Investments,Capital,30100,Capital Call - Contributions Returned,Yes,Active
30100,LP Contributions - Investments,Capital,30100,Capital Call - Investments,Yes,Active
30100,LP Contributions - Investments,Capital,30100,Capital Call - Investments (In-Kind),Yes,Active
30100,LP Contributions - Investments,Capital,30100,Capital Call - Refund of Fund - Investments,Yes,Active
30100,LP Contributions - Investments,Capital,30100,Capital Call - Subsidiary,Yes,Active
30200,LP Contributions - Management Fees,Capital,30200,Capital Call - Management Fee (aff cmt)(non inv rel),Yes,Active
30200,LP Contributions - Management Fees,Capital,30200,Capital Call - Management Fee (n/a cmt)(non inv rel),Yes,Active
30200,LP Contributions - Management Fees,Capital,30200,Capital Call - Refund of Fund - Management Fee (aff cmt)(Non inv rel),Yes,Active
30200,LP Contributions - Management Fees,Capital,30200,Capital Call - Refund of Fund - Management Fee (n/a cmt)(non inv rel),Yes,Active
30300,LP Contributions - Other Fund Expenses,Capital,30300,Capital Call - Capitalized Acquisition Costs,Yes,Active
30300,LP Contributions - Other Fund Expenses,Capital,30300,Capital Call - Interest,Yes,Active
30300,LP Contributions - Other Fund Expenses,Capital,30300,Capital Call - Merak Investor Expense,Yes,Active
30300,LP Contributions - Other Fund Expenses,Capital,30300,Capital Call - NonRecoverable Sales Tax,Yes,Active
30300,LP Contributions - Other Fund Expenses,Capital,30300,Capital Call - Organisational Expenses (aff cmt),Yes,Active
30300,LP Contributions - Other Fund Expenses,Capital,30300,Capital Call - Other Fund Expenses (aff cmt)(non inv rel),Yes,Active
30300,LP Contributions - Other Fund Expenses,Capital,30300,Capital Call - Other Fund Expenses (n/a cmt)(non inv rel),Yes,Active
30300,LP Contributions - Other Fund Expenses,Capital,30300,Capital Call - Partnership Expenses,Yes,Active
30300,LP Contributions - Other Fund Expenses,Capital,30300,"Capital Call - Partnership Expenses -  Accounting, Administration & IT",Yes,Active
30300,LP Contributions - Other Fund Expenses,Capital,30300,Capital Call - Partnership Expenses – Audit & Tax Preparatory,Yes,Active
30300,LP Contributions - Other Fund Expenses,Capital,30300,Capital Call - Partnership Expenses – Bank Fees,Yes,Active
30300,LP Contributions - Other Fund Expenses,Capital,30300,Capital Call - Partnership Expenses – Custody Fees,Yes,Active
30300,LP Contributions - Other Fund Expenses,Capital,30300,Capital Call - Partnership Expenses – Due Diligence,Yes,Active
30300,LP Contributions - Other Fund Expenses,Capital,30300,Capital Call - Partnership Expenses – Legal,Yes,Active
30300,LP Contributions - Other Fund Expenses,Capital,30300,Capital Call - Partnership Expenses – Other Travel & Entertainment,Yes,Active
30300,LP Contributions - Other Fund Expenses,Capital,30300,Capital Call - Partnership Expenses (n/a cmt) (non inv rel),Yes,Active
30300,LP Contributions - Other Fund Expenses,Capital,30300,Capital Call - Refund of Fund - Orgnisational Expenses (aff cmt)(Non Inv Rel),Yes,Active
